Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
est72012,"July 1, 2012",totsex,Both Sexes,nhisp,Not Hispanic,0400000US48,48,Texas,16120617,11596831,3029424,85133,1059244,20101,329884
est72012,"July 1, 2012",totsex,Both Sexes,tothisp,Total,0400000US48,48,Texas,26060796,20995935,3216473,262718,1102514,34071,449085
est72013,"July 1, 2013",female,Female,hisp,Hispanic,0400000US48,48,Texas,5027855,4750766,98679,87305,22521,6955,61629
est72013,"July 1, 2013",female,Female,nhisp,Not Hispanic,0400000US48,48,Texas,8273336,5881053,1597141,43715,566098,10445,174884
est72013,"July 1, 2013",female,Female,tothisp,Total,0400000US48,48,Texas,13301191,10631819,1695820,131020,588619,17400,236513
est72013,"July 1, 2013",male,Male,hisp,Hispanic,0400000US48,48,Texas,5125290,4841596,95707,95231,22439,7465,62852
est72013,"July 1, 2013",male,Male,nhisp,Not Hispanic,0400000US48,48,Texas,8021712,5767205,1492854,43178,538911,10468,169096
est72013,"July 1, 2013",male,Male,tothisp,Total,0400000US48,48,Texas,13147002,10608801,1588561,138409,561350,17933,231948
est72013,"July 1, 2013",totsex,Both Sexes,hisp,Hispanic,0400000US48,48,Texas,10153145,9592362,194386,182536,44960,14420,124481
est72013,"July 1, 2013",totsex,Both Sexes,nhisp,Not Hispanic,0400000US48,48,Texas,16295048,11648258,3089995,86893,1105009,20913,343980
est72013,"July 1, 2013",totsex,Both Sexes,tothisp,Total,0400000US48,48,Texas,26448193,21240620,3284381,269429,1149969,35333,468461
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0400000US49,49,Utah,173301,155449,3608,6285,1475,903,5581
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0400000US49,49,Utah,1202267,1113260,11043,13898,29346,11567,23153
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0400000US49,49,Utah,1375568,1268709,14651,20183,30821,12470,28734
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0400000US49,49,Utah,185039,165517,3928,7216,1531,963,5884
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0400000US49,49,Utah,1203278,1113103,15285,13330,25448,12616,23496
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0400000US49,49,Utah,1388317,1278620,19213,20546,26979,13579,29380
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0400000US49,49,Utah,358340,320966,7536,13501,3006,1866,11465
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0400000US49,49,Utah,2405545,2226363,26328,27228,54794,24183,46649
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0400000US49,49,Utah,2763885,2547329,33864,40729,57800,26049,58114
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0400000US49,49,Utah,173301,155449,3608,6285,1475,903,5581
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0400000US49,49,Utah,1202267,1113260,11043,13898,29346,11567,23153
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0400000US49,49,Utah,1375568,1268709,14651,20183,30821,12470,28734
